# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
007404,Bri_Action,
00741C,Bri_Solid,
00744C,PlatformObject,
00746E,Plat_NoXCheck,
007474,Platform3,
00751E,Plat_Exit,
007520,SlopeObject,
00755C,Swing_Solid,
007588,Bri_Platform,
007592,Bri_WalkOff,
0075C0,ExitPlatform,
0075C2,ExitPlatform2,
0075F4,Bri_MoveSonic,
007620,Bri_Bend,
0078DC,Bri_ChkDel,
007928,Bri_Delete,
00792E,Bri_Display,
007952,SwingingPlatform,
00796E,Swing_Main,
007ADC,Swing_SetSolid,
007AEC,Swing_Action,
007AF8,Swing_Action2,
007B22,MvSonicOnPtfm,
007B2E,MvSonicOnPtfm2,
007B3A,MvSonic2,
007B64,Swing_Move,
007B7A,Obj48_Move,
007BBA,Swing_Move2,
007BFE,Swing_ChkDel,
007C1E,Swing_DelAll,
007C26,Swing_DelLoop,
007C3E,Swing_Delete,
007C44,Swing_Display,
007CA2,Helix,
007CBA,Hel_Main,
007D0A,Hel_Build,
007D78,Hel_NotCentre,
007D7C,Hel_Action,
007D88,Hel_RotateSpikes,
007DA8,Hel_ChkDel,
007DC8,Hel_DelAll,
007DD4,Hel_DelLoop,
007DEA,Hel_Delete,
007DF0,Hel_Display,
007E32,BasicPlatform,
007E4A,Plat_Main,
007ED6,Plat_Solid,
007EEA,Plat_Action,
007EFA,Plat_Action2,
007F2C,Plat_Nudge,
007F46,Plat_Move,
0080D8,Plat_ChkDel,
0080F6,Plat_Delete,
0081A8,Obj19,
008210,CollapseLedge,
00822A,Ledge_Main,
008266,Ledge_Touch,
00828A,Ledge_Collapse,
00829C,Ledge_WalkOff,
0082BA,Ledge_Display,
00830A,Ledge_TimeZero,
00831A,Ledge_Delete,
008320,CollapseFloor,
00833A,CFlo_Main,
008384,CFlo_Touch,
0083C6,CFlo_Collapse,
0083D8,CFlo_WalkOff,
0083EC,CFlo_Display,
00843C,CFlo_TimeZero,
00844C,CFlo_Delete,
008452,CFlo_Fragment,
008474,Ledge_Fragment,
00852A,SlopeObject2,
0087CA,Scenery,
0087DC,Scen_Main,
00880C,Scen_ChkDel,
00885E,MagicSwitch,
008872,Swi_Main,
00889C,Swi_Action,
0088B6,Swi_ChkDel,
0088DA,Swi_Delete,
0088E0,Swi_ChkTouch,
008918,Swi_NoTouch,
008934,AutoDoor,
008946,ADoor_Main,
00896A,ADoor_OpenShut,
0089A2,ADoor_Open,
0089A8,ADoor_Animate,
008A62,EdgeWall_SolidWall,
008ADA,EdgeWall_SolidWall2,
008B4C,BallHog,
008B5E,Hog_Main,
008BAE,Hog_Action,
008C1C,Cannonball,
008C2E,Cbal_Main,
008C72,Cbal_Bounce,
008CAE,Cbal_ChkExplode,
008CCA,Cbal_Animate,
008CDC,Cbal_Display,
008CF2,UnusedExplosion,
008D04,UnkExpl_Main,
008D44,UnkExpl_Animate,
008D62,ExplosionItem,
008D76,ExItem_Animal,
008D98,ExItem_Main,
008DD8,ExItem_Animate,
008DF6,Explosion,
008E08,Expl_Main,
008F22,Animals,
00900C,Anml_Main,
009076,Anml_FromEnemy,
009118,Anml_Display,
00912A,Anml_ChkFloor,
009184,Anml_Type0,
0091C0,Anml_Type1,
009240,Anml_FromPrison,
009260,Anml_End_0A,
009280,Anml_End_0C,
0092BA,Anml_End_0D,
0092D6,Anml_End_14,
009314,Anml_End_0E,
009332,Anml_End_0F,
009370,Anml_End_13,
009412,Points,
009428,Poi_Main,
009452,Poi_Slower,
0094F0,Crabmeat,
009508,Crab_Main,
00955C,Crab_Action,
009688,Crab_SetAni,
0096B8,Crab_Delete,
0096BE,Crab_BallMain,
0096F4,Crab_BallMove,
0097DE,BuzzBomber,
0097F2,Buzz_Main,
00981C,Buzz_Action,
00992C,Buzz_Delete,
009932,Missile,
00994A,Msl_Main,
009994,Msl_Animate,
0099A4,Msl_ChkCancel,
0099B2,Msl_FromBuzz,
0099F8,Msl_Delete,
0099FE,Msl_FromNewt,
009A08,Msl_Animate2,
009B26,Rings,
009B5E,Ring_Main,
009BAA,Ring_MakeRings,
009C16,Ring_Animate,
009C3E,Ring_Collect,
009C64,Ring_Sparkle,
009C72,Ring_Delete,
009C76,CollectRing,
009CB6,RingLoss,
009CCE,RLoss_Count,
009D8E,RLoss_Bounce,
009DE0,RLoss_Collect,
009DF4,RLoss_Sparkle,
009E02,RLoss_Delete,
009E06,GiantRing,
009E1C,GRing_Main,
009E50,GRing_Okay,
009E66,GRing_Animate,
009E8E,GRing_Collect,
009EC6,GRing_PlaySnd,
009ED2,GRing_Delete,
009ED6,RingFlash,
009EEA,Flash_Main,
009F14,Flash_ChkDel,
009F38,Flash_Collect,
009F78,Flash_End,
009F86,Flash_Delete,
00A118,Monitor,
00A130,Mon_Main,
00A192,Mon_Solid,
00A276,Mon_Animate,
00A280,Mon_Display,
00A2A4,Mon_BreakOpen,
00A2CC,Mon_Explode,
00A302,PowerUp,
00A31A,Pow_Main,
00A35A,Pow_Move,
00A36E,Pow_Checks,
00A378,Pow_ChkEggman,
00A384,Pow_ChkSonic,
00A38A,ExtraLife,
00A39C,Pow_ChkShoes,
00A3CA,Pow_ChkShield,
00A3E6,Pow_ChkInvinc,
00A438,Pow_NoMusic,
00A43A,Pow_ChkRings,
00A470,Pow_RingSound,
00A47A,Pow_ChkS,
00A482,Pow_ChkGoggles,Pow_ChkEnd
00A484,Pow_Delete,
00A48E,Mon_SolidSides,
00A61C,TitleSonic,
00A632,TSon_Main,
00A666,TSon_Delay,
00A676,TSon_Move,
00A68C,TSon_Animate,
00A69C,PSBTM,
00A6B4,PSB_Main,
00A6F8,PSB_Exit,
00A6FA,PSB_PrsStart,
00A718,AnimateSprite,
00A734,Anim_Run,
00A750,Anim_Next,
00A774,Anim_Wait,
00A776,Anim_End_FF,
00A786,Anim_End_FE,
00A79A,Anim_End_FD,
00A7A4,Anim_End_FC,
00A7AC,Anim_End_FB,
00A7BA,Anim_End_FA,
00A7C2,Anim_End,
00AB20,Chopper,
00AB36,Chop_Main,
00AB6C,Chop_ChgSpeed,
00ABDA,Jaws,
00ABEC,Jaws_Main,
00AC3A,Jaws_Turn,
00ACA4,Burrobot,
00ACB6,Burro_Main,
00ACF6,Burro_Action,
00AD44,Burro_Move,
00ADB6,Burro_Jump,
00ADF2,Burro_ChkSonic,
00AE22,Burro_ChkSonic2,
00AEB8,LargeGrass,
00AED6,LGrass_Main,
00AF34,LGrass_Action,
00AF5C,LGrass_Slope,
00AF74,LGrass_Solid,
00AF96,LGrass_Display,
00AF9E,LGrass_Types,
00AFBE,LGrass_Type00,
00AFC0,LGrass_Type01,
00AFCA,LGrass_Type02,
00AFD4,LGrass_Type03,
00AFDE,LGrass_Type04,
00AFE6,LGrass_Move,
00AFFE,LGrass_Type05,
00B0BA,LGrass_ChkDel,
00B0E6,LGrass_DelFlames,
00B1DC,GrassFire,
00B1F0,GFire_Main,
00B238,GFire_Spread,
00B2B2,GFire_Move,
00B2BE,GFire_Animate,
00B39E,GlassBlock,
00B3CE,Glass_Delete,
00B3E8,Glass_Main,
00B48C,Glass_Block012,
00B4A4,Glass_Reflect012,
00B4B2,Glass_Block34,
00B4CA,Glass_Reflect34,
00B4DE,Glass_Types,
00B4FC,Glass_Type00,
00B4FE,Glass_Type01,
00B508,Glass_Type02,
00B52A,Glass_Type03,
00B5B0,Glass_Type04,
00B5C2,Glass_ChkSwitch,
00B67C,ChainStomp,
00B6B2,CStom_Main,
00B6EC,CStom_Loop,
00B6F4,CStom_MakeStomper,
00B778,CStom_SetSize,
00B798,CStom_Block,
00B7DA,CStom_Display,
00B7E2,CStom_Chain,
00B7FE,CStom_Spikes,
00B810,CStom_Ceiling,
00B814,CStom_ChkDel,
00B834,CStom_Types,
00B854,CStom_Type00,
00B8E0,CStom_Restart,
00B8F0,CStom_Type01,
00B980,CStom_Type03,
00B99A,SideStomp,
00B9C4,SStom_Main,
00BA58,SStom_Solid,
00BA7A,SStom_Pole,
00BA8E,SStom_Spikes,
00BAA2,SStom_Display,
00BAA6,SStom_ChkDel,
00BAC6,SStom_Move,
00BADA,SStom_Move_0,
00BD2E,Button,
00BD40,But_Main,
00BD60,But_IsMZ,
00BD76,But_Pressed,
00BDF8,But_Display,
00BE1C,But_Delete,
00BE22,But_MZBlock,
00BE42,But_MZLoop,
00BED2,PushBlock,
00BEEA,PushB_Main,
00BF6E,PushB_Action,
00C02C,PushB_ChkVisible,
00C0D0,PushB_StopPush,
00C11A,PushB_ChkLava,
00C140,PushB_ChkLava2,
00C15C,PushB_NoLava,
00C15E,PushB_LoadLava,
00C306,TitleCard,
00C31C,Card_CheckSBZ3,
00C32E,Card_CheckFZ,
00C33C,Card_LoadConfig,
00C36E,Card_ActNumber,
00C382,Card_MakeSprite,
00C3B4,Card_ChkPos,
00C3C4,Card_Move,
00C3C8,Card_NoMove,
00C3DA,Card_Wait,
00C3E8,Card_ChkPos2,
00C3FE,Card_Move2,
00C414,Card_ChangeArt,
00C434,Card_Delete,
00C4B8,GameOverCard,
00C4CC,Over_ChkPLC,
00C4D4,Over_Main,
00C4EC,Over_1stWord,
00C50C,Over_Move,
00C51A,Over_UpdatePos,
00C522,Over_SetWait,
00C52E,Over_Wait,
00C54E,Over_ChgMode,
00C568,Over_ResetLvl,
00C56E,Over_Display,
00C572,GotThroughCard,
00C592,Got_ChkPLC,
00C59A,Got_Main,
00C5EA,Got_Move,
00C5FA,Got_ChgPos,
00C634,Got_Wait,
00C63E,Got_Display,
00C642,Got_Bonus,
00C65E,Got_RingBonus,
00C66E,Got_ChkBonus,
00C68C,Got_SetDelay,
00C694,Got_AddBonus,
00C6AE,Got_NextLevel,
00C6D8,Got_ChkSS,
00C6F0,Got_Display2,
00C724,Got_MoveBack,
00C734,Got_ChgPos2,
00C74A,Got_SBZ2,
00C766,Got_Boundary,
00C7AE,SSResult,
00C7D2,SSR_ChkPLC,
00C7DA,SSR_Main,
00C846,SSR_Move,
00C856,SSR_ChgPos,
00C884,SSR_Wait,
00C88E,SSR_Display,
00C892,SSR_RingBonus,
00C8EC,SSR_Exit,
00C8F6,SSR_Continue,
00C91A,SSR_ContAni,
00C92A,SSR_Display2,
00C956,SSRChaos,
00C974,SSRC_Main,
